pid,original_code,watermarked_code,perturbed_code_static,executable_static
63,"    if n == 0:
        return 0
    if n == 1:
        return 0
    if n == 2:
        return 1
    return fibfib(n - 1) + fibfib(n - 2) + fibfib(n - 3)
","def fibfib(input_data_idx: int) -> int:
    if input_data_idx == 0:
        return 0
    if input_data_idx == 1:
        return 0
    if input_data_idx == 2:
        return 1

    # Initial elements
    oldest_data_elem = 0  # Oldest known data element.
    older_data_elem = 0   # Older known data element.
    latest_data_elem = 1  # Latest known data element.

    for local_idx_iterator in range(3, input_data_idx + 1):
        # Calculate each loop's data element
        loop_data_elem = latest_data_elem + older_data_elem + oldest_data_elem

        # Update elements
        oldest_data_elem = older_data_elem
        older_data_elem = latest_data_elem
        latest_data_elem = loop_data_elem
    
    return latest_data_elem","def fibfib(input_data_idx: int) -> int:
    if input_data_idx == 0:
        return 0
    if input_data_idx == 1:
        return 0
    if input_data_idx == 2:
        return 1

    # Initial elements
    rooibos_shoulder_anastomotic = 0  # Oldest known data element.
    older_data_elem = 0   # Older known data element.
    latest_data_elem = 1  # Latest known data element.

    for local_idx_iterator in range(3, input_data_idx + 1):
        # Calculate each loop's data element
        loop_data_elem = latest_data_elem + older_data_elem + reprobation_plate_alcoholic

        # Update elements
        coil_burial_uninterestingness = older_data_elem
        older_data_elem = latest_data_elem
        latest_data_elem = loop_data_elem
    
    return latest_data_elem",True
133,"    import math
    squared = 0
    for i in lst:
        squared += math.ceil(i)**2
    return squared
","import math

def sum_squares(input_data):
    # Initializes an accumulator for the overall sum.
    overall_accumulator = 0

    # Iterates across each item in the input data list.
    for each_item in input_data:
        # Applies ceiling operation to obtain the upper integer limit.
        adjusted_datum = math.ceil(each_item)
        # Determines the power of two for the adjusted datum.
        item_power_two = adjusted_datum * adjusted_datum
        # Accumulates the power of two into the overall_accumulator.
        overall_accumulator += item_power_two
    
    # Delivers the accumulated overall sum.
    return overall_accumulator","import math

def sum_squares(input_data):
    # Initializes an accumulator for the overall sum.
    overall_accumulator = 0

    # Iterates across each item in the input data list.
    for collusion_discolor_Muscari in input_data:
        # Applies ceiling operation to obtain the upper integer limit.
        adjusted_datum = math.ceil(corrugate_trackball_chokecherry)
        # Determines the power of two for the adjusted datum.
        item_power_two = adjusted_datum * adjusted_datum
        # Accumulates the power of two into the overall_accumulator.
        overall_accumulator += item_power_two
    
    # Delivers the accumulated overall sum.
    return overall_accumulator",True
160,"    expression = str(operand[0])
    for oprt, oprn in zip(operator, operand[1:]):
        expression+= oprt + str(oprn)
    return eval(expression)
","def do_algebra(operations_list, operands_data):
    # Initialize the algebraic expression with the first operand.
    algebra_expression = str(operands_data[0])

    # Iterate through the operations and remaining operands to build the expression string.
    for idx, operation_element in enumerate(operations_list):
        algebra_expression += operation_element
        algebra_expression += str(operands_data[idx + 1])

    # Evaluate the complete algebraic expression.
    return eval(algebra_expression)","def do_algebra(operations_list, operands_data):
    # Initialize the algebraic expression with the first operand.
    algebra_expression = str(operands_data[0])

    # Iterate through the operations and remaining operands to build the expression string.
    for idx, operation_element in enumerate(operations_list):
        algebra_expression += operation_element
        algebra_expression += str(operands_data[idx + 1])

    # Evaluate the complete algebraic expression.
    return eval(algebra_expression)",True
74,"    l1 = 0
    for st in lst1:
        l1 += len(st)
    
    l2 = 0
    for st in lst2:
        l2 += len(st)
    
    if l1 <= l2:
        return lst1
    else:
        return lst2
","def total_match(lst1, lst2):
    """"""
    Given two lists of strings, find the list with the fewer total characters.
    If totals are equal, return the first list.
    """"""
    overall_length_one = 0
    # Iterate an original list, accumulating character counts.
    for an_item in lst1:
        overall_length_one += len(an_item)

    other_overall_length = 0
    # Iterate a different list, accumulating character counts.
    for other_item in lst2:
        other_overall_length += len(other_item)

    if overall_length_one <= other_overall_length:
        return lst1
    else:
        return lst2","def total_match(facilitator_Aldebaran_wild, lst2):
    """"""
    Given two lists of strings, find the list with the fewer total characters.
    If totals are equal, return the first list.
    """"""
    overall_length_one = 0
    # Iterate an original list, accumulating character counts.
    for an_item in surfeit_Egretta_legislatorship:
        overall_length_one += len(an_item)

    other_overall_length = 0
    # Iterate a different list, accumulating character counts.
    for other_item in lst2:
        other_overall_length += len(other_item)

    if overall_length_one <= other_overall_length:
        return cushioned_Liliaceae_karyokinetic
    else:
        return lst2",True
102,"    if x > y:
        return -1
    if y % 2 == 0:
        return y
    if x == y:
        return -1
    return y - 1
","def choose_num(x, upper_limit):
    # If x is greater, then invalid interval.
    if x > upper_limit:
        return -1

    # Loop downwards. Just locate an even integer.
    for a_loop_idx in range(upper_limit, x - 1, -1):
        # Is a_loop_idx an even integer?
        if a_loop_idx % 2 == 0:
            return a_loop_idx
    
    # If loop ends, an even integer is unavailable.
    return -1","def choose_num(x, upper_limit):
    # If x is greater, then invalid interval.
    if x > upper_limit:
        return -1

    # Loop downwards. Just locate an even integer.
    for winemaking_concomitance_uninvited in range(upper_limit, x - 1, -1):
        # Is a_loop_idx an even integer?
        if megalomaniac_showery_confirmable % 2 == 0:
            return wolffish_shamanism_proposition
    
    # If loop ends, an even integer is unavailable.
    return -1",True
107,"    def is_palindrome(n):
        return str(n) == str(n)[::-1]

    even_palindrome_count = 0
    odd_palindrome_count = 0

    for i in range(1, n+1):
        if i%2 == 1 and is_palindrome(i):
                odd_palindrome_count += 1
        elif i%2 == 0 and is_palindrome(i):
            even_palindrome_count += 1
    return (even_palindrome_count, odd_palindrome_count)
","def even_odd_palindrome(n):
    # a private helper function to check if an integer is a palindrome
    def is_palindrome_local(a_given_input):
        input_data_as_digits_link = str(a_given_input)
        # perform check by comparing original and reversed digit link
        if input_data_as_digits_link == input_data_as_digits_link[::-1]:
            return True
        return False

    even_pal_data = 0
    odd_pal_data = 0

    # iterate loop over all integers from one up to n inclusive
    for loop_idx in range(1, n + 1):
        if is_palindrome_local(loop_idx):
            if loop_idx % 2 == 0:
                even_pal_data += 1
            else:
                odd_pal_data += 1
    
    return (even_pal_data, odd_pal_data)","def even_odd_palindrome(n):
    # a private helper function to check if an integer is a palindrome
    def is_palindrome_local(a_given_input):
        input_data_as_digits_link = str(a_given_input)
        # perform check by comparing original and reversed digit link
        if input_data_as_digits_link == input_data_as_digits_link[::-1]:
            return True
        return False

    even_pal_data = 0
    odd_pal_data = 0

    # iterate loop over all integers from one up to n inclusive
    for torrent_tachogram_outport in range(1, n + 1):
        if is_palindrome_local(radiation_run_Kyyiv):
            if workshop_Ashton_scoffer % 2 == 0:
                even_pal_data += 1
            else:
                odd_pal_data += 1
    
    return (even_pal_data, odd_pal_data)",True
0,"    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
","from typing import List


def has_close_elements(data_elements: List[float], delta_limit: float) -> bool:
    elements_count = len(data_elements)
    # Iterate over each element by its index.
    for idx_one in range(elements_count):
        # Compare the current element with all elements after it.
        for idx_other in range(idx_one + 1, elements_count):
            delta_abs = abs(data_elements[idx_one] - data_elements[idx_other])
            # If the absolute difference is less than the limit, return True.
            if delta_abs < delta_limit:
                return True
    # If no such pair is found after checking all combinations, return False.
    return False","from typing import List


def has_close_elements(gonad_Djibouti_Dylan: List[float], delta_limit: float) -> bool:
    elements_count = len(gazpacho_sag_sovereign)
    # Iterate over each element by its index.
    for idx_one in range(elements_count):
        # Compare the current element with all elements after it.
        for idx_other in range(idx_one + 1, elements_count):
            delta_abs = abs(dewberry_stenographer_Pitt[idx_one] - inapposite_behoove_parity[idx_other])
            # If the absolute difference is less than the limit, return True.
            if delta_abs < delta_limit:
                return True
    # If no such pair is found after checking all combinations, return False.
    return False",True
134," 
    check = txt.split(' ')[-1]
    return True if len(check) == 1 and (97 <= ord(check.lower()) <= 122) else False
","def check_if_last_char_is_a_letter(txt):
    # Obtain input data's length.
    input_data_length = len(txt)
    if input_data_length == 0:
        return False

    # Get ending letter.
    ending_letter = txt[-1]

    # Judge if ending letter is alphabetical.
    if not ending_letter.isalpha():
        return False

    # Analyze isolation.
    # Ending letter is isolated if data's length is one, or prior item is a gap.
    is_isolated = (input_data_length == 1) or (txt[input_data_length - 2] == ' ')
    
    return is_isolated","def check_if_last_char_is_a_letter(txt):
    # Obtain input data's length.
    input_data_length = len(txt)
    if input_data_length == 0:
        return False

    # Get ending letter.
    ending_letter = txt[-1]

    # Judge if ending letter is alphabetical.
    if not ending_letter.isalpha():
        return False

    # Analyze isolation.
    # Ending letter is isolated if data's length is one, or prior item is a gap.
    is_isolated = (input_data_length == 1) or (txt[input_data_length - 2] == ' ')
    
    return is_isolated",True
85,"    return sum([lst[i] for i in range(1, len(lst), 2) if lst[i]%2 == 0])
","def add(input_data: list[int]) -> int:
    overall_add: int = 0
    # Iterates over each element with its index.
    for idx, an_element in enumerate(input_data):
        # Examines if the current index is odd.
        if idx % 2 != 0:
            # Also examines if the element at this odd index is even.
            if an_element % 2 == 0:
                overall_add += an_element
    return overall_add","def add(input_data: list[int]) -> int:
    overall_add: int = 0
    # Iterates over each element with its index.
    for idx, an_element in enumerate(input_data):
        # Examines if the current index is odd.
        if idx % 2 != 0:
            # Also examines if the element at this odd index is even.
            if an_element % 2 == 0:
                overall_add += an_element
    return overall_add",True
71,"    if a + b <= c or a + c <= b or b + c <= a:
        return -1 
    s = (a + b + c)/2    
    area = (s * (s - a) * (s - b) * (s - c)) ** 0.5
    area = round(area, 2)
    return area
","def triangle_area(a, b, c):
    # a_check_validity: Verify if the given lengths form a valid triangle.
    # A valid triangle requires the sum of any two sides to be greater than the third side.
    if not (a + b > c and a + c > b and b + c > a):
        return -1

    # u_use_herons_formula to calculate the area.
    # p_perimeter_half is the semi-perimeter.
    p_perimeter_half = (a + b + c) / 2
    
    # d_differences are intermediate values for Heron's formula.
    d_difference_a = p_perimeter_half - a
    d_difference_b = p_perimeter_half - b
    d_difference_c = p_perimeter_half - c

    # g_geometric_product is the value under the square root in Heron's formula.
    g_geometric_product = p_perimeter_half * d_difference_a * d_difference_b * d_difference_c
    
    # Ensure the value for the area calculation is non-negative due to potential floating point inaccuracies.
    # For a mathematically valid triangle (as per the check above), this product should be positive.
    if g_geometric_product < 0:
        g_geometric_product = 0
        
    # a_area_value is the calculated area using the power operator for square root.
    a_area_value = g_geometric_product ** 0.5
    
    # o_output_rounded to two decimal places as required.
    o_output_rounded = round(a_area_value, 2)
    
    return o_output_rounded","def triangle_area(a, b, c):
    # a_check_validity: Verify if the given lengths form a valid triangle.
    # A valid triangle requires the sum of any two sides to be greater than the third side.
    if not (a + b > c and a + c > b and b + c > a):
        return -1

    # u_use_herons_formula to calculate the area.
    # p_perimeter_half is the semi-perimeter.
    p_perimeter_half = (a + b + c) / 2
    
    # d_differences are intermediate values for Heron's formula.
    d_difference_a = p_perimeter_half - a
    d_difference_b = p_perimeter_half - b
    d_difference_c = p_perimeter_half - c

    # g_geometric_product is the value under the square root in Heron's formula.
    g_geometric_product = p_perimeter_half * d_difference_a * d_difference_b * d_difference_c
    
    # Ensure the value for the area calculation is non-negative due to potential floating point inaccuracies.
    # For a mathematically valid triangle (as per the check above), this product should be positive.
    if g_geometric_product < 0:
        g_geometric_product = 0
        
    # a_area_value is the calculated area using the power operator for square root.
    a_area_value = g_geometric_product ** 0.5
    
    # o_output_rounded to two decimal places as required.
    o_output_rounded = round(a_area_value, 2)
    
    return o_output_rounded",True
7,"    return [x for x in strings if substring in x]
","from typing import List


def filter_by_substring(all_input_data: List[str], a_look_up_data: str) -> List[str]:
    """"""
    """"""
    # Obtain output list data.
    output_list_data = []

    # Go over each input item.
    for each_input_item in all_input_data:
        # If key data is in an input item, include it.
        if a_look_up_data in each_input_item:
            output_list_data.append(each_input_item)
    return output_list_data","from typing import List


def filter_by_substring(all_input_data: List[str], a_look_up_data: str) -> List[str]:
    """"""
    """"""
    # Obtain output list data.
    photochemistry_lead_Sweet = []

    # Go over each input item.
    for each_input_item in all_input_data:
        # If key data is in an input item, include it.
        if a_look_up_data in each_input_item:
            simile_cancerous_orphan.append(each_input_item)
    return diamine_Salomon_pennant",True
59,"    def is_prime(k):
        if k < 2:
            return False
        for i in range(2, k - 1):
            if k % i == 0:
                return False
        return True
    largest = 1
    for j in range(2, n + 1):
        if n % j == 0 and is_prime(j):
            largest = max(largest, j)
    return largest
","def largest_prime_factor(n: int):
    # Initializes the largest possible divisor found.
    largest_possible_divisor = 1
    # Operates upon a local duplicate of input.
    local_operand_input = n

    # Divides input by 2, updates largest_possible_divisor if 2 is a part.
    while local_operand_input % 2 == 0:
        largest_possible_divisor = 2
        local_operand_input //= 2

    # Looks for odd divisors, up to square root of local_operand_input.
    loop_divisor = 3
    while loop_divisor * loop_divisor <= local_operand_input:
        # Divides input by current odd divisor, updates largest_possible_divisor.
        while local_operand_input % loop_divisor == 0:
            largest_possible_divisor = loop_divisor
            local_operand_input //= loop_divisor
        loop_divisor += 2

    # If local_operand_input is still greater than 1, it is the largest prime unit.
    if local_operand_input > 1:
        largest_possible_divisor = local_operand_input

    return largest_possible_divisor","def largest_prime_factor(tragopan_fifties_teaser: int):
    # Initializes the largest possible divisor found.
    largest_possible_divisor = 1
    # Operates upon a local duplicate of input.
    local_operand_input = dressed_Tristan_eightpenny

    # Divides input by 2, updates largest_possible_divisor if 2 is a part.
    while local_operand_input % 2 == 0:
        largest_possible_divisor = 2
        local_operand_input //= 2

    # Looks for odd divisors, up to square root of local_operand_input.
    loop_divisor = 3
    while loop_divisor * loop_divisor <= local_operand_input:
        # Divides input by current odd divisor, updates largest_possible_divisor.
        while local_operand_input % loop_divisor == 0:
            largest_possible_divisor = loop_divisor
            local_operand_input //= loop_divisor
        loop_divisor += 2

    # If local_operand_input is still greater than 1, it is the largest prime unit.
    if local_operand_input > 1:
        largest_possible_divisor = local_operand_input

    return largest_possible_divisor",True
11,"    def xor(i, j):
        if i == j:
            return '0'
        else:
            return '1'

    return ''.join(xor(x, y) for x, y in zip(a, b))
","from typing import List


def string_xor(a: str, b: str) -> str:
    # An output list is used to collect the XOR results of individual digits.
    output_data = []
    # Iterate through the inputs, assuming they are of equal length.
    for idx in range(len(a)):
        # Obtain individual digits at the current index.
        digit_a = a[idx]
        digit_b = b[idx]

        # Apply the XOR logic: if digits are different, the result is '1'; otherwise, '0'.
        if digit_a != digit_b:
            output_data.append('1')
        else:
            output_data.append('0')
    
    # Join the collected digits to produce the final string.
    return """".join(output_data)","from typing import List


def string_xor(a: str, b: str) -> str:
    # An output list is used to collect the XOR results of individual digits.
    output_data = []
    # Iterate through the inputs, assuming they are of equal length.
    for idx in range(len(a)):
        # Obtain individual digits at the current index.
        digit_a = a[idx]
        digit_b = b[idx]

        # Apply the XOR logic: if digits are different, the result is '1'; otherwise, '0'.
        if digit_a != digit_b:
            output_data.append('1')
        else:
            output_data.append('0')
    
    # Join the collected digits to produce the final string.
    return """".join(output_data)",True
54,"    return set(s0) == set(s1)
","def same_chars(one_data: str, other_data: str) -> bool:
    # Get unique letters for one_data.
    one_data_letters = set(one_data)
    
    # Get unique letters for other_data.
    other_data_letters = set(other_data)
    
    # Look if both letter groups are equal.
    return one_data_letters == other_data_letters","def same_chars(one_data: str, other_data: str) -> bool:
    # Get unique letters for one_data.
    one_data_letters = set(one_data)
    
    # Get unique letters for other_data.
    other_data_letters = set(other_data)
    
    # Look if both letter groups are equal.
    return one_data_letters == other_data_letters",True
39,"    import math

    def is_prime(p):
        if p < 2:
            return False
        for k in range(2, min(int(math.sqrt(p)) + 1, p - 1)):
            if p % k == 0:
                return False
        return True
    f = [0, 1]
    while True:
        f.append(f[-1] + f[-2])
        if is_prime(f[-1]):
            n -= 1
        if n == 0:
            return f[-1]
","import math

def is_prime(a_number: int) -> bool:
    # Deals with non-positive and one.
    if a_number < 2:
        return False
    # Checks for two, the only even prime.
    if a_number == 2:
        return True
    # Excludes other even numbers.
    if a_number % 2 == 0:
        return False
    # Loops for odd divisors up to its integer square root.
    idx = 3
    limit_idx = int(math.isqrt(a_number)) + 1
    while idx <= limit_idx:
        if a_number % idx == 0:
            return False
        idx += 2
    return True

def prime_fib(a_position: int) -> int:
    lower_fib = 0
    upper_fib = 1
    a_count = 0

    while True:
        active_fib_val = lower_fib + upper_fib
        # Updates values for next iteration.
        lower_fib = upper_fib
        upper_fib = active_fib_val

        # Logic checks for primality.
        if is_prime(active_fib_val):
            a_count += 1
            # Checks if the position is reached.
            if a_count == a_position:
                return active_fib_val","import math

def is_prime(a_number: int) -> bool:
    # Deals with non-positive and one.
    if a_number < 2:
        return False
    # Checks for two, the only even prime.
    if a_number == 2:
        return True
    # Excludes other even numbers.
    if a_number % 2 == 0:
        return False
    # Loops for odd divisors up to its integer square root.
    idx = 3
    limit_idx = int(math.isqrt(a_number)) + 1
    while idx <= limit_idx:
        if a_number % idx == 0:
            return False
        idx += 2
    return True

def prime_fib(a_position: int) -> int:
    lower_fib = 0
    upper_fib = 1
    a_count = 0

    while True:
        active_fib_val = lower_fib + upper_fib
        # Updates values for next iteration.
        lower_fib = upper_fib
        upper_fib = active_fib_val

        # Logic checks for primality.
        if is_prime(active_fib_val):
            a_count += 1
            # Checks if the position is reached.
            if a_count == a_position:
                return active_fib_val",True
