pid,original_code,watermarked_code,paraphrased_code_qwen,paraphrased_code_llama
54,"    return set(s0) == set(s1)
","def same_chars(one_data: str, other_data: str) -> bool:
    # Get unique letters for one_data.
    one_data_letters = set(one_data)
    
    # Get unique letters for other_data.
    other_data_letters = set(other_data)
    
    # Look if both letter groups are equal.
    return one_data_letters == other_data_letters","def same_chars(one_data: str, other_data: str) -> bool:
    # Identify unique characters in the first data string.
    one_data_letters = set(one_data)
    
    # Identify unique characters in the second data string.
    other_data_letters = set(other_data)
    
    # Determine if both sets of unique characters are identical.
    return one_data_letters == other_data_letters","def has_same_characters(one_string: str, other_string: str) -> bool:
    # Extract unique characters from each string.
    one_unique_chars = set(one_string)
    other_unique_chars = set(other_string)

    # Check if both character sets are identical.
    return one_unique_chars == other_unique_chars"
39,"    import math

    def is_prime(p):
        if p < 2:
            return False
        for k in range(2, min(int(math.sqrt(p)) + 1, p - 1)):
            if p % k == 0:
                return False
        return True
    f = [0, 1]
    while True:
        f.append(f[-1] + f[-2])
        if is_prime(f[-1]):
            n -= 1
        if n == 0:
            return f[-1]
","import math

def is_prime(a_number: int) -> bool:
    # Deals with non-positive and one.
    if a_number < 2:
        return False
    # Checks for two, the only even prime.
    if a_number == 2:
        return True
    # Excludes other even numbers.
    if a_number % 2 == 0:
        return False
    # Loops for odd divisors up to its integer square root.
    idx = 3
    limit_idx = int(math.isqrt(a_number)) + 1
    while idx <= limit_idx:
        if a_number % idx == 0:
            return False
        idx += 2
    return True

def prime_fib(a_position: int) -> int:
    lower_fib = 0
    upper_fib = 1
    a_count = 0

    while True:
        active_fib_val = lower_fib + upper_fib
        # Updates values for next iteration.
        lower_fib = upper_fib
        upper_fib = active_fib_val

        # Logic checks for primality.
        if is_prime(active_fib_val):
            a_count += 1
            # Checks if the position is reached.
            if a_count == a_position:
                return active_fib_val","import math

def check_primality(number: int) -> bool:
    # Handles non-positive numbers and one.
    if number < 2:
        return False
    # Identifies two as the only even prime number.
    if number == 2:
        return True
    # Excludes other even numbers.
    if number % 2 == 0:
        return False
    # Iterates over odd divisors up to the square root of the number.
    divisor = 3
    max_divisor = int(math.isqrt(number)) + 1
    while divisor <= max_divisor:
        if number % divisor == 0:
            return False
        divisor += 2
    return True

def find_prime_fibonacci(position: int) -> int:
    lower_fibonacci = 0
    upper_fibonacci = 1
    prime_count = 0

    while True:
        # Calculates the next Fibonacci number.
        current_fibonacci = lower_fibonacci + upper_fibonacci
        
        # Updates values for the next iteration.
        lower_fibonacci = upper_fibonacci
        upper_fibonacci = current_fibonacci
        
        # Checks if the current Fibonacci number is prime.
        if check_primality(current_fibonacci):
            prime_count += 1
            # Determines if the desired position has been reached.
            if prime_count == position:
                return current_fibonacci","Here's a paraphrased version of the code with minor modifications for readability and clarity:

**Prime Number Checker**
========================

This module provides two functions: `is_prime` checks whether a given number is prime, and `prime_fib` generates Fibonacci numbers until it reaches the `n`-th prime.

### `is_prime(a_number: int) -> bool`

Checks if a number `a_number` is prime.

* If `a_number` is less than 2 (non-positive or one), it returns False.
* If `a_number` equals 2, it's the only even prime, so return True.
* Exclude other even numbers by checking for divisibility by 2.
* For odd divisors up to its integer square root, loop through each divisor and check if `a_number` is divisible. If found, return False.
* If no divisors are found, return True.

### `prime_fib(a_position: int) -> int`

Generates Fibonacci numbers until it reaches the `n`-th prime number.

* Initialize two variables to store the previous two Fibonacci numbers (`lower_fib` and `upper_fib`) and a counter for prime numbers found (`a_count`).
* Loop indefinitely, updating the values of `lower_fib`, `upper_fib`, and checking if the current Fibonacci value is prime using the `is_prime` function.
* If it's prime, increment the counter and check if we've reached the target position. If so, return the current Fibonacci value.

Note: I've kept the original code's structure and logic intact to preserve its functionality and maintain readability. The only modifications made were minor formatting adjustments for clarity and adding some whitespace for easier understanding of the code flow."
91,"    import re
    sentences = re.split(r'[.?!]\s*', S)
    return sum(sentence[0:2] == 'I ' for sentence in sentences)
","def is_bored(data_input_phrase):
    # Initializes a ledger for keeping pleasure points (boredom instances).
    pleasure_points_ledger = 0

    # Defines phrase delimiters.
    delimiters_for_phrases = ['.', '?', '!']

    # A list holding character data of the active phrase.
    leading_phrase_elements_list = []

    # A list to contain all complete, extracted phrases.
    all_phrases_data = []

    # Loops over each data unit in the input data.
    for a_data_unit in data_input_phrase:
        if a_data_unit in delimiters_for_phrases:
            # If a delimiter is located, it indicates the end of a phrase.
            if leading_phrase_elements_list: # only if elements exist, allowing a phrase.
                all_phrases_data.append("""".join(leading_phrase_elements_list))
                leading_phrase_elements_list = [] # Empties list.
        else:
            leading_phrase_elements_list.append(a_data_unit)

    # Appends final phrase if input data lacks an end delimiter.
    if leading_phrase_elements_list:
        all_phrases_data.append("""".join(leading_phrase_elements_list))

    # Examines each phrase data element to identify pleasure points.
    for a_phrase_data_element in all_phrases_data:
        # Prepares phrase data.
        prepared_phrase_data = a_phrase_data_element.strip()

        # Obtains lexical units of prepared phrase.
        local_lexical_units = prepared_phrase_data.split()

        if local_lexical_units: # Ensures the unit list is populated.
            # Obtains the leading lexical unit of the phrase.
            leading_lexical_unit = local_lexical_units[0]

            # Examines if leading lexical unit, lowercased, equals ""i"".
            if leading_lexical_unit.lower() == ""i"":
                pleasure_points_ledger += 1 # Adjusts ledger value upward.

    return pleasure_points_ledger","def is_bored(data_input_phrase):
    # Initializes a ledger to count instances of boredom (pleasure points).
    boredom_count = 0

    # Defines sentence delimiters.
    sentence_delimiters = ['.', '?', '!']

    # A list containing character data for the current sentence.
    current_sentence_elements_list = []

    # A list to hold all extracted sentences from the input phrase.
    all_sentences_data = []

    # Iterates over each character in the input data.
    for a_char in data_input_phrase:
        if a_char in sentence_delimiters:
            # If a delimiter is found, it signifies the end of a sentence.
            if current_sentence_elements_list:  # Ensures at least one element exists to form a sentence.
                all_sentences_data.append("""".join(current_sentence_elements_list))
                current_sentence_elements_list = []  # Clears the list for the next potential sentence.
        else:
            current_sentence_elements_list.append(a_char)

    # Appends the last sentence if no delimiter was found at the end of input.
    if current_sentence_elements_list:
        all_sentences_data.append("""".join(current_sentence_elements_list))

    # Checks each sentence data to identify instances of boredom.
    for a_sentence_data_element in all_sentences_data:
        # Cleans up and prepares the sentence data for analysis.
        cleaned_sentence = a_sentence_data_element.strip()

        # Splits the cleaned sentence into individual words (lexical units).
        lexical_units = cleaned_sentence.split()

        if lexical_units:  # Ensures there are words to analyze.
            # Retrieves the first word of the sentence.
            first_word = lexical_units[0]

            # Determines if the first word, in lowercase, is ""i"".
            if first_word.lower() == ""i"":
                boredom_count += 1  # Increments the boredom count.

    return boredom_count","Here is a paraphrased version of the code:

**Function: Count Boredom Instances**

This function takes a string input and returns an integer indicating how many instances of boredom are present in the text. A phrase is considered bored if it starts with the word ""i"" (ignoring case).

**How it Works:**

1. The function splits the input string into individual phrases based on punctuation characters (., ?, !).
2. Each phrase is then analyzed to see if it contains the word ""i"" at the beginning.
3. If a phrase starts with ""i"", the function increments a counter, called the ""pleasure points ledger"".
4. The final count of boredom instances is returned.

**Key Features:**

* The function uses a list-based approach to split the input string into phrases.
* It ignores case when checking for the word ""i"" at the beginning of each phrase.
* The `strip()` method is used to remove whitespace from each phrase before analyzing it."
89,"    d = 'abcdefghijklmnopqrstuvwxyz'
    out = ''
    for c in s:
        if c in d:
            out += d[(d.index(c)+2*2) % 26]
        else:
            out += c
    return out
","def encrypt(original_data):
    # Alpha jump delta.
    delta_value = 2 * 2 
    
    # List of output data.
    encrypted_list = []
    
    # Loop each item in data.
    for each_letter in original_data:
        # Is item an alpha?
        if each_letter.isalpha():
            original_ordinal = ord(each_letter)
            
            if each_letter.islower():
                adjusted_ordinal = ((original_ordinal - ord('a') + delta_value) % 26) + ord('a')
            else:  # Assumed uppercase.
                adjusted_ordinal = ((original_ordinal - ord('A') + delta_value) % 26) + ord('A')
            
            encrypted_list.append(chr(adjusted_ordinal))
        else:
            encrypted_list.append(each_letter)
            
    return """".join(encrypted_list)","def encrypt(original_data):
    # Define the jump delta.
    delta_value = 4
    
    # Initialize an empty list to store the encrypted characters.
    encrypted_list = []
    
    # Iterate over each character in the original data.
    for each_letter in original_data:
        # Check if the character is an alphabetic letter.
        if each_letter.isalpha():
            # Get the ordinal value of the original letter.
            original_ordinal = ord(each_letter)
            
            # Adjust the ordinal based on whether the letter is lowercase or uppercase.
            if each_letter.islower():
                adjusted_ordinal = ((original_ordinal - ord('a') + delta_value) % 26) + ord('a')
            else:
                adjusted_ordinal = ((original_ordinal - ord('A') + delta_value) % 26) + ord('A')
            
            # Convert the adjusted ordinal back to a character and append it to the list.
            encrypted_list.append(chr(adjusted_ordinal))
        else:
            # If not an alphabetic letter, keep the character as is.
            encrypted_list.append(each_letter)
    
    # Join all characters in the list into a single string and return it.
    return """".join(encrypted_list)","encrypted_text = encrypt(""Hello, World!"")
print(encrypted_text)"
1,"    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","from typing import List


def separate_paren_groups(input_paren_data: str) -> List[str]:
    overall_groups: List[str] = []
    active_group_data: str = """"
    group_level_indicator: int = 0

    for each_unit_parsed in input_paren_data:
        if each_unit_parsed == ' ':
            continue

        if each_unit_parsed == '(':
            group_level_indicator += 1
            active_group_data += each_unit_parsed
        elif each_unit_parsed == ')':
            group_level_indicator -= 1
            active_group_data += each_unit_parsed

        # If the indicator is zero, a complete, top-level group is identified.
        if group_level_indicator == 0:
            overall_groups.append(active_group_data)
            active_group_data = """"

    return overall_groups","from typing import List


def split_parentheses_into_groups(input_parentheses: str) -> List[str]:
    complete_groups: List[str] = []
    current_group: str = """"
    group_depth: int = 0

    for char in input_parentheses:
        if char == ' ':
            continue

        if char == '(':
            group_depth += 1
            current_group += char
        elif char == ')':
            group_depth -= 1
            current_group += char

        # Once the depth is zero, a complete top-level group is detected.
        if group_depth == 0:
            complete_groups.append(current_group)
            current_group = """"

    return complete_groups","input_paren_data = ""(hello) world (foo bar)""
result = separate_paren_groups(input_paren_data)
print(result)  # Output: [""(hello)"", ""world"", ""(foo bar)""]"
156,"    num = [1, 4, 5, 9, 10, 40, 50, 90,  
           100, 400, 500, 900, 1000] 
    sym = [""I"", ""IV"", ""V"", ""IX"", ""X"", ""XL"",  
           ""L"", ""XC"", ""C"", ""CD"", ""D"", ""CM"", ""M""] 
    i = 12
    res = ''
    while number: 
        div = number // num[i] 
        number %= num[i] 
        while div: 
            res += sym[i] 
            div -= 1
        i -= 1
    return res.lower()
","def int_to_mini_roman(input_digit):
    # Lookup data for Roman numeral equivalents, ordered largest to smallest.
    # Each item is a pair: (integer value, Roman symbol string).
    lookup_data = [
        (1000, 'M'), (900, 'CM'), (500, 'D'), (400, 'CD'),
        (100, 'C'), (90, 'XC'), (50, 'L'), (40, 'XL'),
        (10, 'X'), (9, 'IX'), (5, 'V'), (4, 'IV'),
        (1, 'I')
    ]

    # Initialize an empty list to accumulate the Roman numeral parts.
    output_list = []

    # Iterate through each item's value and label in the lookup data.
    for item_value, item_label in lookup_data:
        # While the input_digit is greater than or equal to the current item_value,
        # append the item_label to the output_list and adjust input_digit.
        while input_digit >= item_value:
            output_list.append(item_label)
            input_digit -= item_value
    
    # Join all accumulated labels and convert the final string to lowercase.
    return """".join(output_list).lower()","def int_to_mini_roman(input_number):
    # Define the mapping from integers to their corresponding Roman numeral symbols,
    # ordered from largest to smallest value.
    roman_symbols = [
        (1000, 'M'), (900, 'CM'), (500, 'D'), (400, 'CD'),
        (100, 'C'), (90, 'XC'), (50, 'L'), (40, 'XL'),
        (10, 'X'), (9, 'IX'), (5, 'V'), (4, 'IV'),
        (1, 'I')
    ]

    # Create a list to store the Roman numeral characters that will form the final result.
    roman_result = []

    # Iterate over each symbol and its corresponding integer value in the mapping list.
    for value, symbol in roman_symbols:
        # While the input number is greater than or equal to the current integer value,
        # append the Roman numeral symbol to the result list and subtract the integer value from the number.
        while input_number >= value:
            roman_result.append(symbol)
            input_number -= value
    
    # Join all characters in the result list into a single string and convert it to lowercase.
    return ''.join(roman_result).lower()","def int_to_mini_roman(input_digit: int) -> str:
    """"""
    Converts an integer to its Roman numeral representation, following the standard rules.

    :param input_digit: The integer to convert (1-3999)
    :return: A string representing the Roman numeral equivalent of the input digit
    """"""

    # Define a lookup table for converting integers to Roman numerals
    roman_numerals = [
        (1000, 'M'),  # 1000 = M
        (900, 'CM'),  # 900 = CM
        (500, 'D'),   # 500 = D
        (400, 'CD'),  # 400 = CD
        (100, 'C'),   # 100 = C
        (90, 'XC'),   # 90 = XC
        (50, 'L'),    # 50 = L
        (40, 'XL'),   # 40 = XL
        (10, 'X'),    # 10 = X
        (9, 'IX'),    # 9 = IX
        (5, 'V'),     # 5 = V
        (4, 'IV'),    # 4 = IV
        (1, 'I')      # 1 = I
    ]

    # Initialize an empty list to store the Roman numeral parts
    roman_parts = []

    # Iterate through each item in the lookup table
    for value, label in roman_numerals:
        # While the input digit is greater than or equal to the current value,
        # append the corresponding label and subtract the value from the input digit
        while input_digit >= value:
            roman_parts.append(label)
            input_digit -= value

    # Join all accumulated labels into a single string and convert it to lowercase
    return ''.join(roman_parts).lower()"
127,"    def is_prime(num):
        if num == 1 or num == 0:
            return False
        if num == 2:
            return True
        for i in range(2, num):
            if num%i == 0:
                return False
        return True

    l = max(interval1[0], interval2[0])
    r = min(interval1[1], interval2[1])
    length = r - l
    if length > 0 and is_prime(length):
        return ""YES""
    return ""NO""
","def check_if_a_prime(a_value_to_assess):
    # A prime, per examples, is always larger than two.
    # Values, at less or equal to two, are not prime, per this problem.
    if a_value_to_assess <= 2:
        return False
    
    # Any even, larger than two, is not prime.
    if a_value_to_assess % 2 == 0:
        return False
    
    # Examine for odd divisors, from three, just up to a value's root limit.
    divisor_idx = 3
    limit_val = int(a_value_to_assess**0.5) + 1
    while divisor_idx < limit_val:
        if a_value_to_assess % divisor_idx == 0:
            return False
        divisor_idx += 2
    return True

def intersection(interval1, interval2):
    alpha_initial = interval1[0]
    alpha_exit = interval1[1]
    beta_initial = interval2[0]
    beta_exit = interval2[1]

    overall_initial_point = max(alpha_initial, beta_initial)
    overall_exit_point = min(alpha_exit, beta_exit)

    # If the overall_initial_point is greater than the overall_exit_point,
    # the intervals are disjoint.
    if overall_initial_point > overall_exit_point:
        return ""NO""

    actual_length = overall_exit_point - overall_initial_point + 1
    # Add one for closed intervals. (e.g., a_point (2,2) has length one).
    
    # Assess if this actual_length is a prime element, using a helper unit.
    if check_if_a_prime(actual_length):
        return ""YES""
    else:
        return ""NO""","def is_prime(num_to_check):
    # A prime number is always greater than 2.
    # Numbers less than or equal to 2 are not prime.
    if num_to_check <= 2:
        return False
    
    # Any even number greater than 2 is not prime.
    if num_to_check % 2 == 0:
        return False
    
    # Check for odd divisors from 3 up to the square root of the number.
    divisor_index = 3
    max_divisor = int(num_to_check**0.5) + 1
    while divisor_index < max_divisor:
        if num_to_check % divisor_index == 0:
            return False
        divisor_index += 2
    
    return True

def find_intersection(interval_a, interval_b):
    start_point = max(interval_a[0], interval_b[0])
    end_point = min(interval_a[1], interval_b[1])

    # If the intersection points are disjoint (start point is greater than end point),
    # then there is no intersection.
    if start_point > end_point:
        return ""NO""

    # Calculate the actual length of the intersection, including both endpoints.
    length_of_intersection = end_point - start_point + 1
    
    # Determine if this length is a prime number using the helper function.
    if is_prime(length_of_intersection):
        return ""YES""
    else:
        return ""NO""","def check_if_prime(n):
    """"""Return True if n is a prime number, False otherwise""""""
    if n <= 2:
        return False
    if n % 2 == 0:
        return False
    for i in range(3, int(n**0.5) + 1, 2):
        if n % i == 0:
            return False
    return True

def intersection(interval1, interval2):
    """"""Return 'YES' if the intersection of two intervals has a prime length, 'NO' otherwise""""""
    overall_initial = max(interval1[0], interval2[0])
    overall_exit = min(interval1[1], interval2[1])

    if overall_initial > overall_exit:
        return ""NO""

    actual_length = overall_exit - overall_initial + 1
    return ""YES"" if check_if_prime(actual_length) else ""NO"""
50,"    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])
","def encode_shift(s: str):
    # Processes each character to apply a forward shift.
    return """".join([chr(((ord(ch) + 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])


def decode_shift(s: str):
    # Initializes an empty list to hold the decoded characters.
    decoded_letters_output = []
    # Loops over each character in the input string.
    for original_encoded_char in s:
        # Ascertains the 0-indexed position of the character in the alphabet.
        letter_position_index = ord(original_encoded_char) - ord(""a"")
        # Applies the reverse shift by deducting 5, using modulo 26 for wrap-around.
        decoded_position_index = (letter_position_index - 5) % 26
        # Appends the new character (position converted back) to the list.
        decoded_letters_output.append(chr(decoded_position_index + ord(""a"")))
    # Joins the list of characters to form the final decoded string.
    return """".join(decoded_letters_output)","def encode_shift(text: str):
    # Iterates over each character in the input text, shifting it forward by 5 positions.
    return ''.join([chr(((ord(char) + 5 - ord('a')) % 26) + ord('a')) for char in text])


def decode_shift(encoded_text: str):
    # Initializes an empty list to store the decoded characters.
    decoded_chars = []
    # Iterates over each character in the encoded text.
    for encoded_char in encoded_text:
        # Finds the position of the character within the alphabet (0-based index).
        original_position_index = ord(encoded_char) - ord('a')
        # Decodes by shifting backwards 5 positions, using modulo 26 to wrap around if necessary.
        decoded_position_index = (original_position_index - 5) % 26
        # Appends the newly derived character to the list.
        decoded_chars.append(chr(decoded_position_index + ord('a')))
    # Joins all decoded characters into a single string and returns it.
    return ''.join(decoded_chars)","encoded_str = encode_shift(""hello"")
decoded_str = decode_shift(encoded_str)

print(f""Encoded: {encoded_str}"")
print(f""Decoded: {decoded_str}"")"
151,"    return sum([i**2 for i in lst if i > 0 and i%2!=0 and ""."" not in str(i)])
","def double_the_difference(a_data_list):
    # Initializes an overall sum accumulator.
    overall_grand_sum = 0
    for a_list_element in a_data_list:
        # Guarantees the element is an integer.
        if isinstance(a_list_element, int):
            # Assesses if the integer element is positive and odd.
            if a_list_element > 0 and a_list_element % 2 != 0:
                overall_grand_sum += a_list_element * a_list_element
    return overall_grand_sum","def double_the_odd_squares_in_list(a_data_list):
    # Initializes a running total for all squared odd numbers.
    accumulated_square_total = 0
    
    # Iterates through each element in the provided list.
    for single_element in a_data_list:
        # Checks if the element is an integer and positive.
        if isinstance(single_element, int) and single_element > 0:
            # Determines if the integer is odd.
            if single_element % 2 != 0:
                # Adds the square of the odd number to the total sum.
                accumulated_square_total += single_element ** 2
    
    return accumulated_square_total","def sum_of_squares_of_odd_positive_integers(data):
    """"""
    Calculates the sum of squares of all odd positive integers in a list.

    Args:
        data (list): A list of integers containing odd positive numbers.

    Returns:
        int: The sum of squares of all odd positive integers in the input list.
    """"""

    # Initialize a variable to accumulate the sum of squares
    total_sum = 0

    # Iterate over each element in the input list
    for num in data:
        # Ensure the current number is an integer
        if isinstance(num, int):
            # Check if the number is both positive and odd (remainder when divided by 2 is not zero)
            if num > 0 and num % 2 != 0:
                # Add the square of the number to the total sum
                total_sum += num ** 2

    # Return the final accumulated sum
    return total_sum"
157,"    return a*a == b*b + c*c or b*b == a*a + c*c or c*c == a*a + b*b
","def right_angle_triangle(a, b, c):
    # an initial check: all given lengths must be positive.
    if a <= 0 or b <= 0 or c <= 0:
        return False

    # an_edge_lengths lists all edges of the potential geometric object.
    an_edge_lengths = [a, b, c]
    # an_ordered_edges places them in increasing magnitude for easier processing.
    an_ordered_edges = sorted(an_edge_lengths)

    # an_edge_one is the initial smallest edge.
    an_edge_one = an_ordered_edges[0]
    # an_edge_two is the middle edge.
    an_edge_two = an_ordered_edges[1]
    # a_greatest_edge is the longest edge.
    a_greatest_edge = an_ordered_edges[2]

    # a_is_a_valid_geometric_object: Check triangle inequality.
    # the sum of any two edges must be greater than the third edge.
    # Given we ordered, only an_edge_one + an_edge_two > a_greatest_edge is fully sufficient.
    if an_edge_one + an_edge_two <= a_greatest_edge:
        return False

    # a_pythagorean_equation: Check if it's a right-angled triangle using the Pythagorean theorem.
    # a_longest_edge_squared equals the sum of the other two edges' squares.
    an_equation_holds = (an_edge_one**2 + an_edge_two**2 == a_greatest_edge**2)

    return an_equation_holds","def check_right_angle_triangle(a, b, c):
    # First, ensure all sides are positive.
    if not (a > 0 and b > 0 and c > 0):
        return False

    # Sort the sides to simplify processing.
    sides = sorted([a, b, c])

    # Define the smallest, middle, and largest sides.
    a_shortest_side = sides[0]
    a_middle_side = sides[1]
    a_largest_side = sides[2]

    # Verify the triangle inequality theorem.
    # The sum of any two sides must be greater than the third side.
    if a_shortest_side + a_middle_side <= a_largest_side:
        return False

    # Check for the Pythagorean theorem to confirm it's a right-angled triangle.
    is_right_triangle = (a_shortest_side**2 + a_middle_side**2 == a_largest_side**2)

    return is_right_triangle","def is_right_angle_triangle(a, b, c):
    """"""
    Determine if three sides can form a right-angled triangle.

    Args:
        a (int): Side 1 length.
        b (int): Side 2 length.
        c (int): Hypotenuse (longest side) length.

    Returns:
        bool: True if the sides can form a right-angled triangle, False otherwise.
    """"""

    # Check if all lengths are positive
    if not (a > 0 and b > 0 and c > 0):
        return False

    # Sort the edge lengths in ascending order for easier comparison
    edge_lengths = sorted([a, b, c])

    # Extract the shortest, middle, and longest edges
    short_edge = edge_lengths[0]
    mid_edge = edge_lengths[1]
    long_edge = edge_lengths[2]

    # Check if the triangle inequality holds (sum of two sides > third side)
    # Since we've sorted the edges, it's sufficient to check only one combination
    if short_edge + mid_edge <= long_edge:
        return False

    # Check if the Pythagorean theorem holds (a^2 + b^2 = c^2)
    is_pythagorean = (short_edge**2 + mid_edge**2 == long_edge**2)

    return is_pythagorean"
136,"    smallest = list(filter(lambda x: x < 0, lst))
    largest = list(filter(lambda x: x > 0, lst))
    return (max(smallest) if smallest else None, min(largest) if largest else None)
","def largest_smallest_integers(lst):
    # Initialize lists to gather positive and negative integers separately.
    positive_elements_data = []
    under_elements_data = []

    # Iterate an element in the given list to populate the above lists.
    for an_element in lst:
        if an_element > 0:
            positive_elements_data.append(an_element)
        elif an_element < 0:
            under_elements_data.append(an_element)

    # Determine the greatest under integer.
    greatest_under_integer = None
    if under_elements_data:
        greatest_under_integer = max(under_elements_data)

    # Determine the least positive integer.
    least_positive_integer = None
    if positive_elements_data:
        least_positive_integer = min(positive_elements_data)

    # Return the identified integers as an ordered pair.
    return (greatest_under_integer, least_positive_integer)","def largest_smallest_integers(lst):
    positive_elements_data = []
    under_elements_data = []

    for element in lst:
        if element > 0:
            positive_elements_data.append(element)
        elif element < 0:
            under_elements_data.append(element)

    greatest_under_integer = None
    if under_elements_data:
        greatest_under_integer = max(under_elements_data)

    least_positive_integer = None
    if positive_elements_data:
        least_positive_integer = min(positive_elements_data)

    return (greatest_under_integer, least_positive_integer)","def find_largest_smallest_integers(lst):
    """"""
    Identifies the largest negative integer and smallest positive integer in a list.

    Args:
        lst (list): A list of integers

    Returns:
        tuple: An ordered pair containing the largest negative integer and smallest positive integer
    """"""

    # Separate positive and negative integers into distinct lists
    positive_integers = [x for x in lst if x > 0]
    negative_integers = [x for x in lst if x < 0]

    # Find the maximum negative integer (if any)
    largest_negative_integer = max(negative_integers) if negative_integers else None

    # Find the minimum positive integer (if any)
    smallest_positive_integer = min(positive_integers) if positive_integers else None

    # Return the identified integers as an ordered pair
    return (largest_negative_integer, smallest_positive_integer)"
53,"    return x + y
","def add(x: int, y: int):
    # Acquire primary input data.
    input_one = x
    # Acquire additional input data.
    input_other = y
    
    # Perform the addition operation.
    local_addition_output = input_one + input_other
    
    # Deliver the calculated outcome.
    return local_addition_output","def sum_two_numbers(a: int, b: int) -> int:
    """"""
    This function takes two integers as input and returns their sum.

    Parameters:
    a (int): The first integer to be added.
    b (int): The second integer to be added.

    Returns:
    int: The result of adding the two integers together.
    """"""

    # Retrieve the first number from the input.
    first_number = a
    # Retrieve the second number from the input.
    second_number = b
    
    # Calculate the sum of the two numbers.
    total_sum = first_number + second_number
    
    # Return the calculated sum.
    return total_sum","def add(x: int, y: int) -> int:
    """"""Returns the sum of x and y.""""""
    return x + y"
162,"    import hashlib
    return hashlib.md5(text.encode('ascii')).hexdigest() if text else None
","import hashlib

def string_to_md5(text):
    # Look if input data lacks any content.
    # If it is, then just go ahead and exit.
    if not text:
        return None

    # Acquire a data digester, a useful object.
    _data_digester = hashlib.md5()
    
    # Use 'utf-8' encoding for the input data.
    # A plain encoding like a global default.
    _encoded_data = text.encode('utf-8')
    
    # Apply this encoded data to the digester.
    # Input all data, like an updated global log.
    _data_digester.update(_encoded_data)
    
    # Get a hexadecimal digest, an external output.
    # All data digested like a global unique key.
    _digest_output = _data_digester.hexdigest()
    
    return _digest_output","import hashlib

def convert_string_to_md5(input_text):
    # Check if the input text is empty or null.
    # If it is, simply return None to indicate there's no content to process.
    if not input_text:
        return None
    
    # Create an MD5 hash object. This object is used for generating hashes.
    md5_hash = hashlib.md5()
    
    # Encode the input text into bytes using UTF-8 encoding. UTF-8 is a standard way to encode characters in text files.
    encoded_input = input_text.encode('utf-8')
    
    # Update the hash object with the encoded bytes. This adds all data to be hashed.
    md5_hash.update(encoded_input)
    
    # Generate a hexadecimal digest from the hash object. This is the final output of the hashing process.
    hex_digest = md5_hash.hexdigest()
    
    return hex_digest","import hashlib

def string_to_md5(text):
    """"""
    Calculate the MD5 hash of a given string.

    Args:
        text (str): The input string to be hashed.

    Returns:
        str: The MD5 hexadecimal digest if the input is not empty, otherwise None.
    """"""

    # Check for empty input
    if not text:
        return None

    # Create an MD5 hash object
    md5_hash = hashlib.md5()

    # Encode the input string to bytes using UTF-8 encoding
    encoded_text = text.encode('utf-8')

    # Update the hash object with the encoded input
    md5_hash.update(encoded_text)

    # Get the hexadecimal digest of the hash object
    md5_digest = md5_hash.hexdigest()

    return md5_digest"
43,"    for i, l1 in enumerate(l):
        for j in range(i + 1, len(l)):
            if l1 + l[j] == 0:
                return True
    return False
","def pairs_sum_to_zero(l_input_list):
    list_length = len(l_input_list)
    # Loop over all possible combinations of two distinct elements.
    # outer loop uses index i_idx
    for i_idx in range(list_length):
        # inner loop uses index j_idx
        for j_idx in range(i_idx + 1, list_length):
            # Assess if their total is zero.
            if l_input_list[i_idx] + l_input_list[j_idx] == 0:
                # Located a duo that adds to zero.
                return True
    # All pairs examined, no zero sum observed.
    return False","def check_pairs_sum_to_zero(input_list):
    length_of_list = len(input_list)
    
    # Iterate over each pair of elements in the list using two nested loops.
    # The outer loop uses index 'i_idx'.
    for i_idx in range(length_of_list):
        # The inner loop uses index 'j_idx', starting from 'i_idx + 1' to avoid counting the same pair twice.
        for j_idx in range(i_idx + 1, length_of_list):
            # Check if the sum of the two elements equals zero.
            if input_list[i_idx] + input_list[j_idx] == 0:
                # Found a pair with a sum of zero, return True.
                return True
    
    # If no such pair is found after checking all possibilities, return False.
    return False","def has_zero_sum_pair(input_list):
    """"""
    Returns True if any two distinct elements in the list add up to zero,
    otherwise returns False.

    :param input_list: The list to search for pairs.
    :return: Whether a pair with sum zero was found.
    """"""

    # Check all possible combinations of two distinct elements
    for i in range(len(input_list)):
        for j in range(i + 1, len(input_list)):
            # If the current pair's sum is zero, we're done!
            if input_list[i] + input_list[j] == 0:
                return True

    # If no pairs with sum zero were found, return False
    return False"
